"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: density","Param: size"
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,258628.535056,2797.781233,"ops/s",0.5,1
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,262178.237272,179.211620,"ops/s",0.5,2
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,260099.924186,2771.470284,"ops/s",0.5,4
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,262272.418927,109.602509,"ops/s",0.5,8
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,259899.332981,1913.735499,"ops/s",0.5,16
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,261309.037891,906.862374,"ops/s",0.5,32
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,261459.701642,1823.606702,"ops/s",0.5,64
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,260268.758900,1615.262586,"ops/s",0.5,128
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,262257.678197,108.442083,"ops/s",0.5,256
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,233755.891682,22722.522652,"ops/s",0.5,512
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,261949.362038,547.632308,"ops/s",0.5,1024
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,261614.330578,739.922340,"ops/s",0.5,2048
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,258840.565990,2803.298629,"ops/s",0.5,4096
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,257392.651663,2080.350589,"ops/s",0.5,8192
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,256194.616228,330.335763,"ops/s",0.5,16384
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,255029.843755,207.232227,"ops/s",0.5,32768
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,252776.442962,2153.771968,"ops/s",0.5,65536
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,253493.433981,341.913708,"ops/s",0.5,131072
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,253184.816633,323.687236,"ops/s",0.5,262144
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,253373.622681,353.022674,"ops/s",0.5,524288
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,253022.113699,310.148809,"ops/s",0.5,1048576
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,253255.654398,894.691071,"ops/s",0.5,2097152
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,248379.348672,3396.519907,"ops/s",0.5,4194304
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,247939.660718,3706.069798,"ops/s",0.5,8388608
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,242880.543825,3102.786479,"ops/s",0.5,16777316
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,262188.062996,147.180649,"ops/s",0.5,1
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,262367.438857,110.485742,"ops/s",0.5,2
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,262365.333074,127.954195,"ops/s",0.5,4
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,262121.170753,864.852479,"ops/s",0.5,8
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,262337.085347,112.420534,"ops/s",0.5,16
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,262248.511391,182.266667,"ops/s",0.5,32
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,262297.340862,162.064884,"ops/s",0.5,64
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,262233.227576,126.962217,"ops/s",0.5,128
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,262288.598933,100.059960,"ops/s",0.5,256
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,262018.065876,533.112016,"ops/s",0.5,512
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,262289.315832,93.843179,"ops/s",0.5,1024
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,261909.357582,778.999138,"ops/s",0.5,2048
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,261311.270799,159.041639,"ops/s",0.5,4096
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,259198.092184,175.008340,"ops/s",0.5,8192
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,253556.077006,3315.009990,"ops/s",0.5,16384
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,254986.791208,191.129825,"ops/s",0.5,32768
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,254312.731406,314.101926,"ops/s",0.5,65536
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,254175.242934,253.281097,"ops/s",0.5,131072
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,252903.947285,483.454149,"ops/s",0.5,262144
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,252762.474797,609.256390,"ops/s",0.5,524288
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,241315.860566,14863.684078,"ops/s",0.5,1048576
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,242116.348348,14935.004109,"ops/s",0.5,2097152
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,253426.900345,288.700596,"ops/s",0.5,4194304
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,247843.318875,3733.109852,"ops/s",0.5,8388608
"thrive.BenchmarkGet_ArrayMap.missingGetArrayMap","thrpt",1,60,245355.728408,515.388216,"ops/s",0.5,16777316
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,109558.901439,1167.181296,"ops/s",0.5,1
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,66964.523602,918.595568,"ops/s",0.5,2
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,51366.695985,314.528700,"ops/s",0.5,4
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,33845.630983,477.370095,"ops/s",0.5,8
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,25008.470528,145.006147,"ops/s",0.5,16
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,26339.897656,179.258230,"ops/s",0.5,32
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,25321.194794,42.183810,"ops/s",0.5,64
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,24846.454505,128.979390,"ops/s",0.5,128
