test,name,amount,size
lin,IntHamt16Java,1,152
lin,IntHamt16Java,2,160
lin,IntHamt16Java,4,184
lin,IntHamt16Java,8,232
lin,IntHamt16Java,16,328
lin,IntHamt16Java,32,2024
lin,IntHamt16Java,64,2408
lin,IntHamt16Java,128,3176
lin,IntHamt16Java,256,4712
lin,IntHamt16Java,512,31848
lin,IntHamt16Java,1024,37992
lin,IntHamt16Java,2048,50280
lin,IntHamt16Java,4096,74856
lin,IntHamt16Java,8192,509032
lin,IntHamt16Java,16384,607336
lin,IntHamt16Java,32768,803944
lin,IntHamt16Java,65536,1197160
lin,IntHamt16Java,131072,8143976
lin,IntHamt16Java,262144,9716840
lin,IntHamt16Java,524288,12862568
lin,IntHamt16Java,1048576,19154024
lin,IntHamt16Java,2097152,130303080
lin,IntHamt16Java,4194304,155468904
lin,IntHamt16Java,8388608,205800552
lin,IntChamp32Kotlin,1,120
lin,IntChamp32Kotlin,2,160
lin,IntChamp32Kotlin,4,240
lin,IntChamp32Kotlin,8,400
lin,IntChamp32Kotlin,16,720
lin,IntChamp32Kotlin,32,1360
lin,IntChamp32Kotlin,64,4688
lin,IntChamp32Kotlin,128,7248
lin,IntChamp32Kotlin,256,12368
lin,IntChamp32Kotlin,512,22608
lin,IntChamp32Kotlin,1024,43088
lin,IntChamp32Kotlin,2048,149584
lin,IntChamp32Kotlin,4096,231504
lin,IntChamp32Kotlin,8192,395344
lin,IntChamp32Kotlin,16384,723024
lin,IntChamp32Kotlin,32768,1378384
lin,IntChamp32Kotlin,65536,4786256
lin,IntChamp32Kotlin,131072,7407696
lin,IntChamp32Kotlin,262144,12650576
lin,IntChamp32Kotlin,524288,23136336
lin,IntChamp32Kotlin,1048576,44107856
lin,IntChamp32Kotlin,2097152,153159760
lin,IntChamp32Kotlin,4194304,237045840
lin,IntChamp32Kotlin,8388608,404818000
lin,ClojureTreeMap,1,136
lin,ClojureTreeMap,2,216
lin,ClojureTreeMap,4,360
lin,ClojureTreeMap,8,648
lin,ClojureTreeMap,16,1224
lin,ClojureTreeMap,32,2376
lin,ClojureTreeMap,64,4680
lin,ClojureTreeMap,128,9288
lin,ClojureTreeMap,256,18504
lin,ClojureTreeMap,512,36936
lin,ClojureTreeMap,1024,73800
lin,ClojureTreeMap,2048,147528
lin,ClojureTreeMap,4096,294984
lin,ClojureTreeMap,8192,589896
lin,ClojureTreeMap,16384,1179720
lin,ClojureTreeMap,32768,2359368
lin,ClojureTreeMap,65536,4718664
lin,ClojureTreeMap,131072,9437256
lin,ClojureTreeMap,262144,18874440
lin,ClojureTreeMap,524288,37748808
lin,ClojureTreeMap,1048576,75497544
lin,ClojureTreeMap,2097152,150995016
lin,ClojureTreeMap,4194304,301989960
lin,ClojureTreeMap,8388608,603979848
lin,PaguroTreeMap,1,192
lin,PaguroTreeMap,2,264
lin,PaguroTreeMap,4,392
lin,PaguroTreeMap,8,648
