test,name,amount,size
lin,RadixTree,1,120
lin,RadixTree,2,128
lin,RadixTree,4,144
lin,RadixTree,8,176
lin,RadixTree,16,240
lin,RadixTree,32,368
lin,RadixTree,64,736
lin,RadixTree,128,1360
lin,RadixTree,256,2608
lin,RadixTree,512,5104
lin,RadixTree,1024,10096
lin,RadixTree,2048,20192
lin,RadixTree,4096,40272
lin,RadixTree,8192,80432
lin,RadixTree,16384,160752
lin,RadixTree,32768,321392
lin,RadixTree,65536,642784
lin,RadixTree,131072,1285456
lin,RadixTree,262144,2570800
lin,RadixTree,524288,5141488
lin,RadixTree,1048576,10282864
lin,RadixTree,2097152,20565728
lin,RadixTree,4194304,41131344
lin,RadixTree,8388608,82262576
lincumu,RadixTree,1,152
lincumu,RadixTree,2,264
lincumu,RadixTree,4,512
lincumu,RadixTree,8,1104
lincumu,RadixTree,16,2672
lincumu,RadixTree,32,7344
lincumu,RadixTree,64,16688
lincumu,RadixTree,128,36144
lincumu,RadixTree,256,78128
lincumu,RadixTree,512,174384
lincumu,RadixTree,1024,416048
lincumu,RadixTree,2048,899376
lincumu,RadixTree,4096,1891104
lincumu,RadixTree,8192,3972864
lincumu,RadixTree,16384,8529600
lincumu,RadixTree,32768,19215936
lincumu,RadixTree,65536,40588360
lincumu,RadixTree,131072,84120632
lincumu,RadixTree,262144,174330904
lincumu,RadixTree,524288,367334360
lincumu,RadixTree,1048576,803672920
lincumu,RadixTree,2097152,1676349544
lincumu,RadixTree,4194304,3446870104
lincumu,RadixTree,8388608,7088574520
rand,RadixTree,1,128
rand,RadixTree,2,136
rand,RadixTree,4,176
rand,RadixTree,8,240
rand,RadixTree,16,368
rand,RadixTree,32,736
rand,RadixTree,64,1360
rand,RadixTree,128,2608
rand,RadixTree,256,5104
rand,RadixTree,512,10096
rand,RadixTree,1024,20192
rand,RadixTree,2048,40264
rand,RadixTree,4096,80424
rand,RadixTree,8192,160736
rand,RadixTree,16384,321360
rand,RadixTree,32768,642784
rand,RadixTree,65536,1285448
rand,RadixTree,131072,2570800
rand,RadixTree,262144,5141480
rand,RadixTree,524288,10282848
rand,RadixTree,1048576,20565696
rand,RadixTree,2097152,41131320
rand,RadixTree,4194304,82262568
rand,RadixTree,8388608,164525040
randcumu,RadixTree,1,160
randcumu,RadixTree,2,288
randcumu,RadixTree,4,640
randcumu,RadixTree,8,1712
randcumu,RadixTree,16,5344
randcumu,RadixTree,32,13224
randcumu,RadixTree,64,28320
randcumu,RadixTree,128,61184
randcumu,RadixTree,256,139296
randcumu,RadixTree,512,344432
randcumu,RadixTree,1024,755976
randcumu,RadixTree,2048,1546016
randcumu,RadixTree,4096,3224160
randcumu,RadixTree,8192,6974168
randcumu,RadixTree,16384,16046968
randcumu,RadixTree,32768,34193824
randcumu,RadixTree,65536,69439392
randcumu,RadixTree,131072,143075224
randcumu,RadixTree,262144,302932176
randcumu,RadixTree,524288,672977656
randcumu,RadixTree,1048576,1413069072
randcumu,RadixTree,2097152,2859696952
randcumu,RadixTree,4194304,5853617224
randcumu,RadixTree,8388608,12244112200
