test,name,amount,size
lin,Trie1,1,120
lin,Trie1,2,160
lin,Trie1,4,240
lin,Trie1,8,400
lin,Trie1,16,720
lin,Trie1,32,1360
lin,Trie1,64,4688
lin,Trie1,128,7248
lin,Trie1,256,12368
lin,Trie1,512,22608
lin,Trie1,1024,43088
lin,Trie1,2048,149584
lin,Trie1,4096,231504
lin,Trie1,8192,395344
lin,Trie1,16384,723024
lin,Trie1,32768,1378384
lin,Trie1,65536,4786256
lin,Trie1,131072,7407696
lin,Trie1,262144,12650576
lin,Trie1,524288,23136336
lin,Trie1,1048576,44107856
lin,Trie1,2097152,153159760
lin,Trie1,4194304,237045840
lin,Trie1,8388608,404818000
lin,ClojureTreeMap,1,136
lin,ClojureTreeMap,2,216
lin,ClojureTreeMap,4,360
lin,ClojureTreeMap,8,648
lin,ClojureTreeMap,16,1224
lin,ClojureTreeMap,32,2376
lin,ClojureTreeMap,64,4680
lin,ClojureTreeMap,128,9288
lin,ClojureTreeMap,256,18504
lin,ClojureTreeMap,512,36936
lin,ClojureTreeMap,1024,73800
lin,ClojureTreeMap,2048,147528
lin,ClojureTreeMap,4096,294984
lin,ClojureTreeMap,8192,589896
lin,ClojureTreeMap,16384,1179720
lin,ClojureTreeMap,32768,2359368
lin,ClojureTreeMap,65536,4718664
lin,ClojureTreeMap,131072,9437256
lin,ClojureTreeMap,262144,18874440
lin,ClojureTreeMap,524288,37748808
lin,ClojureTreeMap,1048576,75497544
lin,ClojureTreeMap,2097152,150995016
lin,ClojureTreeMap,4194304,301989960
lin,ClojureTreeMap,8388608,603979848
lin,PaguroTreeMap,1,192
lin,PaguroTreeMap,2,264
lin,PaguroTreeMap,4,392
lin,PaguroTreeMap,8,648
lin,PaguroTreeMap,16,1160
lin,PaguroTreeMap,32,2184
lin,PaguroTreeMap,64,4232
lin,PaguroTreeMap,128,8328
lin,PaguroTreeMap,256,16520
lin,PaguroTreeMap,512,32904
lin,PaguroTreeMap,1024,65672
lin,PaguroTreeMap,2048,131208
lin,PaguroTreeMap,4096,262280
lin,PaguroTreeMap,8192,524424
lin,PaguroTreeMap,16384,1048712
lin,PaguroTreeMap,32768,2097288
lin,PaguroTreeMap,65536,4194440
lin,PaguroTreeMap,131072,8388744
lin,PaguroTreeMap,262144,16777352
