"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: density","Param: size"
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,88071.673706,5125.218698,"ops/s",0.25,1
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,84729.430775,5569.769760,"ops/s",0.25,2
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,89629.451893,7168.023894,"ops/s",0.25,4
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,93654.188960,9721.681758,"ops/s",0.25,8
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,92197.016286,9459.615829,"ops/s",0.25,16
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,88360.444175,5419.738500,"ops/s",0.25,32
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,86212.228160,5012.410602,"ops/s",0.25,64
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,87539.448607,5189.460871,"ops/s",0.25,128
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,85803.559978,5566.354681,"ops/s",0.25,256
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,87025.598022,5077.402026,"ops/s",0.25,512
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,88232.407555,5284.685273,"ops/s",0.25,1024
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,86816.049785,5241.401376,"ops/s",0.25,2048
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,85130.191187,5091.084329,"ops/s",0.25,4096
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,84721.569867,5635.729051,"ops/s",0.25,8192
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,82819.300360,5562.266826,"ops/s",0.25,16384
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,81691.094777,4964.395996,"ops/s",0.25,32768
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,82506.919407,5082.266464,"ops/s",0.25,65536
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,79993.818508,5244.070186,"ops/s",0.25,131072
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,83713.537546,5037.616861,"ops/s",0.25,262144
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,82603.623024,5235.707876,"ops/s",0.25,524288
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,79690.527102,5315.839593,"ops/s",0.25,1048576
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,81190.897416,5440.642358,"ops/s",0.25,2097152
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,79321.549800,5230.362024,"ops/s",0.25,4194304
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,73674.977946,4724.194984,"ops/s",0.25,8388608
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,72106.138794,4755.758217,"ops/s",0.25,16777316
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,86863.720547,5671.995975,"ops/s",0.5,1
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,86306.547381,4955.404848,"ops/s",0.5,2
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,87123.942917,5204.600951,"ops/s",0.5,4
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,87182.300839,5378.583667,"ops/s",0.5,8
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,87715.808392,7686.268163,"ops/s",0.5,16
"thrive.BenchmarkGet_ArrayMap.hittingGetArrayMap","thrpt",1,60,87927.653883,6221.017803,"ops/s",0.5,32
