"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: density","Param: size"
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,73551.043618,4480.694524,"ops/s",0.25,1
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,75343.358181,4443.826229,"ops/s",0.25,2
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,74231.951305,4665.238890,"ops/s",0.25,4
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,76303.845516,4700.756469,"ops/s",0.25,8
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,49364.827282,3101.272109,"ops/s",0.25,16
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,46214.618131,2634.608758,"ops/s",0.25,32
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,42368.518647,2509.685812,"ops/s",0.25,64
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,42129.704617,2437.709264,"ops/s",0.25,128
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,41689.794613,2503.890060,"ops/s",0.25,256
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,35924.063222,2127.779740,"ops/s",0.25,512
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,35410.732377,2014.672897,"ops/s",0.25,1024
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,34773.361214,2146.282764,"ops/s",0.25,2048
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,34561.913930,2207.673495,"ops/s",0.25,4096
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,34145.127280,2050.737006,"ops/s",0.25,8192
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,25002.098309,1659.981020,"ops/s",0.25,16384
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,22785.081646,1476.452060,"ops/s",0.25,32768
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,21572.342108,1315.438029,"ops/s",0.25,65536
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,19747.815877,1245.956076,"ops/s",0.25,131072
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,16774.521775,1071.676332,"ops/s",0.25,262144
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,13558.809626,801.342739,"ops/s",0.25,524288
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,12272.924504,721.752062,"ops/s",0.25,1048576
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,11307.616252,667.916736,"ops/s",0.25,2097152
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,10921.747247,741.783144,"ops/s",0.25,4194304
