"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: density","Param: size"
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,76909.924029,4552.862775,"ops/s",0.5,4
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,76923.061482,4491.746577,"ops/s",0.5,5
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,76077.208482,4521.321720,"ops/s",0.5,6
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,76135.756276,4889.805119,"ops/s",0.5,7
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,75466.523940,4779.909269,"ops/s",0.5,8
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,76376.992778,4484.811807,"ops/s",0.5,10
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,76951.658016,4466.113840,"ops/s",0.5,12
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,75632.571877,4441.278425,"ops/s",0.5,14
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,75848.696448,4632.800587,"ops/s",0.5,16
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,51418.126507,2980.069580,"ops/s",0.5,20
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,50785.284039,3043.841372,"ops/s",0.5,24
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,50587.522652,3083.784157,"ops/s",0.5,28
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,51861.626385,3212.656310,"ops/s",0.5,32
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,50719.397977,2977.504259,"ops/s",0.5,40
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,51416.375648,3057.893266,"ops/s",0.5,48
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,51515.494958,3222.560489,"ops/s",0.5,56
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,50508.344081,3288.843885,"ops/s",0.5,64
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,50602.669809,3071.903522,"ops/s",0.5,80
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,50492.837113,3036.387213,"ops/s",0.5,96
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,50890.740542,3064.066710,"ops/s",0.5,112
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,50984.778179,3182.126888,"ops/s",0.5,128
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,51074.672823,3104.962538,"ops/s",0.5,160
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,50926.571288,3012.540918,"ops/s",0.5,192
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,51837.709511,3177.873875,"ops/s",0.5,224
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,50282.124144,3272.328951,"ops/s",0.5,256
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,51412.381146,3188.500216,"ops/s",0.5,320
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,50594.649749,2951.540337,"ops/s",0.5,384
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,50504.754487,3265.101960,"ops/s",0.5,448
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,50764.480047,3070.636604,"ops/s",0.5,512
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,32166.762428,2123.375108,"ops/s",0.5,640
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,33201.309106,1920.461173,"ops/s",0.5,768
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,32631.361548,2124.249123,"ops/s",0.5,896
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,32280.799465,1930.863746,"ops/s",0.5,1024
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,32875.758168,1994.516082,"ops/s",0.5,1280
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,32893.930483,1913.322296,"ops/s",0.5,1536
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,32391.526504,1989.669365,"ops/s",0.5,1792
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,32439.825723,1954.996961,"ops/s",0.5,2048
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,31967.508061,1875.287928,"ops/s",0.5,2560
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,31624.168891,1861.697930,"ops/s",0.5,3072
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,31152.035335,1861.175096,"ops/s",0.5,3584
